排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
203,9940,信義,上市,61.3,192,13.7,其他業,周俊吉
204,1795,美時,上櫃,23.8,191,5.3,生技醫療業,林東和
205,3036,文曄,上市,40.7,190,12.7,電子通路業,鄭文宗
206,4915,致伸,上市,43.9,188,2.6,電腦及週邊設備業,梁立省
207,1536,和大,上市,23.5,187,13.7,電機機械,沈國榮
208,2608,大榮,上市,48.4,187,24.4,航運業,沈宗桂
209,2035,唐榮,上櫃,35,186,8.9,鋼鐵工業,張復盛
210,1312,國喬,上市,92.7,185,26.4,塑膠工業,吳春臺
211,1229,聯華,上市,85.5,185,38.8,食品工業,苗豐強
212,3576,新日光,上市,85.6,182,6.4,光電業,林坤禧
213,6166,凌華,上市,18.4,182,10.5,電腦及週邊設備業,劉鈞
214,3376,新日興,上市,17.9,181,7.4,電子零組件業,呂勝男
215,2373,震旦行,上市,33.7,180,23.8,其他電子業,林樂萍
216,2312,金寶,上市,146,180,25.5,其他電子業,許勝雄
217,1104,環泥,上市,61.6,178,44.3,水泥工業,侯博義
218,2607,榮運,上市,107,178,24.4,航運業,陳清標
219,9930,中聯資,上市,22.6,177,15.5,其他業,梁修長
220,4105,東洋,上櫃,24.9,177,13.7,生技醫療業,蕭英鈞
221,1409,新纖,上市,166,177,41.7,紡織纖維,吳東昇
222,1210,大成,上市,73.6,176,37,食品工業,韓家宇
223,6214,精誠,上市,26.7,176,4.4,資訊服務業,黃宗仁
224,4960,奇美材,上市,51.6,176,3.6,光電業,何昭陽
225,2104,中橡,上市,54.9,175,28.9,橡膠工業,辜成允
226,1307,三芳,上市,37.5,175,29.5,塑膠工業,林孟經
227,2383,台光電,上市,31.6,174,16.5,電子零組件業,蔡輝亮
228,5534,長虹,上市,26.1,173,11,建材營造業,李文造
229,6451,F-訊芯,上市,10.5,172,0.3,半導體業,徐文一
230,2331,精英,上市,55.7,172,20.7,電腦及週邊設備業,林郭文艷
231,3022,威強電,上市,32.8,171,12.7,電腦及週邊設備業,郭博達
232,6206,飛捷,上市,13.9,169,10.8,電腦及週邊設備業,林大成
233,1304,台聚,上市,114,169,43,塑膠工業,吳亦圭
234,1704,榮化,上市,85.3,167,37.4,化學工業,李謀偉
235,2856,元富證,上市,154,166,12.7,證券業,陳俊宏
236,2371,大同,上市,234,166,53.3,電機機械,林蔚山
237,3035,智原,上市,41.4,164,12.7,半導體業,宣明智
238,6146,耕興,上櫃,8.4,163,13.3,其他電子業,黃文亮
